 36 months, 60 months,1 year,10+ years,2 years,3 years,4 years,5 years,6 years,7 years,8 years,9 years,< 1 year,MORTGAGE,Not Verified,OTHER_Home_Ownership,OTHER_Purposes,OWN,RENT,Source Verified,Verified,annual_inc_new,car,credit_card,debt_consolidation,educational,funded_amnt_new,home_improvement,house,installment_new,int_rate,loan_amnt_new,major_purchase,medical,moving,renewable_energy,small_business,vacation,wedding
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2664324.9999999995,1,0,0,0,222027.0833333333,0,0,5313.552158333332,15.2,222027.0833333333,0,0,0,0,0,0,0
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3552433.333333333,0,0,0,0,497340.66666666657,0,0,13533.882891666664,21.2,497340.66666666657,0,0,0,0,1,0,0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1332162.4999999998,0,0,0,0,477358.22916666657,0,0,10786.075708333332,12.6,477358.22916666657,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2664324.9999999995,0,0,1,0,799297.4999999999,0,0,27121.05228333333,13.4,799297.4999999999,0,0,0,0,0,0,0
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,8881083.333333332,0,0,0,0,888108.3333333333,0,0,28929.24085,10.6,888108.3333333333,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,9325137.499999998,0,0,1,0,1865027.4999999998,0,0,62321.22607499999,12.4,1865027.4999999998,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,6749623.333333332,0,0,0,0,532864.9999999999,0,0,17625.397983333332,11.7,532864.9999999999,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,5328649.999999999,0,0,1,0,1332162.4999999998,0,0,45705.60726666666,14.2,1332162.4999999998,0,0,0,0,0,0,0
0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,4440896.909999999,0,0,0,0,444054.1666666666,0,0,10981.459541666665,16.7,444054.1666666666,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,8881083.333333332,0,0,1,0,444054.1666666666,0,0,14100.496008333332,8.9,444054.1666666666,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,7104866.666666666,0,0,1,0,1332162.4999999998,0,0,42929.38061666666,9.91,1332162.4999999998,0,0,0,0,0,0,0
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4440541.666666666,1,0,0,0,1065729.9999999998,0,0,37447.08787499999,15.9,1065729.9999999998,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,4440541.666666666,0,0,1,0,1865027.4999999998,0,0,49319.320074999996,19.9,1865027.4999999998,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4084943.0899999994,0,0,1,0,888108.3333333333,0,0,19155.608641666662,10.6,888108.3333333333,0,0,0,0,0,0,0
0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2664324.9999999995,0,0,1,0,792636.6874999999,0,0,19814.585024999997,17.2,1110135.4166666665,0,0,0,0,0,0,0
0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6660812.499999999,0,0,0,0,728248.8333333333,0,0,19817.249349999995,21.2,728248.8333333333,0,0,0,0,1,0,0
1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,6660812.499999999,0,0,1,0,568389.3333333333,0,0,20200.024041666664,16.7,568389.3333333333,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,3996487.4999999995,0,1,0,0,1554189.583333333,0,0,38852.07525833333,17.2,1554189.583333333,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2220270.833333333,0,0,1,0,550627.1666666666,0,0,17744.404499999997,9.91,550627.1666666666,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3374811.666666666,0,0,1,0,1671863.9374999998,0,0,41344.10724166666,16.7,1671863.9374999998,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6660812.499999999,0,1,0,0,888108.3333333333,0,0,32218.79411666666,18.2,888108.3333333333,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5950325.833333332,0,1,0,0,2220270.833333333,0,0,51076.88646666666,13.4,2220270.833333333,0,0,0,0,0,0,0
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3996487.4999999995,0,0,1,0,1754013.958333333,0,0,57134.67340833333,10.6,1754013.958333333,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4618163.333333333,0,0,1,0,1047967.8333333331,0,0,27712.53243333333,19.9,2486703.333333333,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,7992974.999999999,0,0,0,0,2131459.9999999995,1,0,74894.17574999998,15.9,2131459.9999999995,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3641244.166666666,0,1,0,0,985800.2499999999,0,0,30268.50821666666,6.62,985800.2499999999,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3730054.9999999995,0,0,1,0,1065729.9999999998,0,0,34343.149249999995,9.91,1065729.9999999998,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,5328649.999999999,0,0,1,0,888108.3333333333,0,0,29375.07123333333,11.7,888108.3333333333,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2220270.833333333,0,1,0,0,1196725.9791666665,0,0,27530.470224999997,13.4,1196725.9791666665,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,7548920.833333332,0,0,1,0,497340.66666666657,0,0,17155.588674999995,14.6,497340.66666666657,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1065729.9999999998,0,0,1,0,222027.0833333333,0,0,6907.7066166666655,7.51,222027.0833333333,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,5772704.166666666,0,0,0,0,888108.3333333333,0,0,30134.403858333328,13.4,888108.3333333333,0,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2131459.9999999995,0,0,1,0,688283.9583333333,0,0,24632.57273333333,17.2,688283.9583333333,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,6216758.333333332,0,0,1,0,1776216.6666666665,0,0,47943.64026666666,20.8,1776216.6666666665,0,0,0,0,0,0,0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,5328649.999999999,0,0,1,0,1865027.4999999998,0,0,41214.44342499999,11.7,1865027.4999999998,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3730054.9999999995,0,0,1,0,1332162.4999999998,0,0,47343.27903333333,16.7,1332162.4999999998,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,6660812.499999999,0,0,1,0,1332162.4999999998,0,0,47674.543441666654,17.2,1332162.4999999998,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5195433.749999999,0,0,1,0,1420973.333333333,0,0,47666.55046666666,12.6,1420973.333333333,0,0,0,0,0,0,0
